New York City;783.8;8419600
Los Angeles;1214;3980400
Chicago;589;2716000
Houston;1651;2328000
Phoenix;1340;1690000
Philadelphia;369;1584200
San Antonio;1206;1547200
San Diego;964;1423800
Dallas;881.9;1343500
San Jose;469.7;1035400
Austin;704;993649
Jacksonville;2266;949611
Fort Worth;910;942323
Columbus;577;907000
Charlotte;771;885708
San Francisco;121;815201
Indianapolis;953;887232
Seattle;369.2;733919
Denver;401.3;715878
Washington D.C.;177;689545
Boston;125;692600
El Paso;667.6;678815
Nashville;1362;689447
Detroit;370.1;639111
Oklahoma City;1609;681054
Portland;375.5;652503
Las Vegas;352;646790
Memphis;839;633104
Louisville;1032;628594
Baltimore;238;602495
Milwaukee;251;577222
Albuquerque;489;564559
Tucson;588;542629
Fresno;297;542107
Mesa;353;518012
Sacramento;259;513624
Atlanta;347;498715
Kansas City;826;508090
Colorado Springs;507;483956
Miami;143;467963
Raleigh;382;474069
Omaha;367;486051
Long Beach;130;466742
Virginia Beach;641;457672
Oakland;202;440646
Minneapolis;151;429606
Tulsa;520;413066
Arlington;259;394266
New Orleans;907;376971
Wichita;428;397532
Cleveland;213;372624
Anchorage;5079;291247
Honolulu;177;345064
Aurora;402;386261
Santa Ana;69;310227
St. Louis;171;302838
Riverside;211;314998
Corpus Christi;460;317863
Lexington;739;324604
Pittsburgh;151;302971
Stockton;170;320804
St. Paul;145;311527
Cincinnati;206;309317
Greensboro;346;298263
Plano;185;287677
Henderson;280;317610
Newark;67;311549
Toledo;217;268609
Lincoln;258;291082
Orlando;294;309154
Chula Vista;133;275487
Irvine;172;273157
Fort Wayne;287;263886
Jersey City;54;292449
Durham;287;285527
St. Petersburg;137;258201
Laredo;221;256153
Buffalo;135;278349
Madison;263;269840
Lubbock;343;258870
Chandler;172;257165
Scottsdale;477;255310
Reno;274;264165
Glendale;150;250702
Norfolk;249;238005
Winston-Salem;348;250765
North Las Vegas;262;262527
Gilbert;178;263849
Chesapeake;910;251269
Garland;150;246018
Irving;176;251066
Hialeah;55;223109
Fremont;231;230504
Boise;214;237446
Richmond;162;230436
Baton Rouge;228;227470
San Bernardino;154;222101
Spokane;180;228989
Des Moines;234;214133
Tacoma;162;223123
Modesto;116;218464
